Sample Number,1
Channel Number,1
Date & Time,2026-06-24 14:05:50.923660
Vopen (V),0.423
Ishort (A),15.1
Vmaxp (V),0.362
Imaxp (A),14.9
Pmax (W),5.3938
V (V),I (A),P (W)
0.423,0.1,0.0423
0.423,0.2,0.0846
0.423,0.3,0.1269
0.423,0.4,0.1692
0.423,0.5,0.2115
0.423,0.6,0.2538
0.423,0.7,0.2961
0.423,0.8,0.3384
0.423,0.9,0.3807
0.423,1.0,0.423
0.423,1.1,0.4653
0.423,1.2,0.5076
0.423,1.3,0.5499
0.423,1.4,0.5922
0.423,1.5,0.6345
0.423,1.6,0.6768
0.423,1.7,0.7191
0.423,1.8,0.7614
0.423,1.9,0.8037
0.423,2.0,0.846
0.423,2.1,0.8883
0.423,2.2,0.9306
0.423,2.3,0.9729
0.424,2.4,1.0176
0.423,2.5,1.0575
0.423,2.6,1.0998
0.423,2.7,1.1421
0.423,2.8,1.1844
0.423,2.9,1.2267
0.423,3.0,1.269
0.423,3.1,1.3113
0.423,3.2,1.3536
0.423,3.3,1.3959
0.423,3.4,1.4382
0.423,3.5,1.4805
0.423,3.6,1.5228
0.423,3.7,1.5651
0.423,3.8,1.6074
0.423,3.9,1.6497
0.423,4.0,1.692
0.423,4.1,1.7343
0.423,4.2,1.7766
0.423,4.3,1.8189
0.423,4.4,1.8612
0.423,4.5,1.9035
0.423,4.6,1.9458
0.423,4.7,1.9881
0.423,4.8,2.0304
0.423,4.9,2.0727
0.423,5.0,2.115
0.423,5.1,2.1573
0.423,5.2,2.1996
0.423,5.3,2.2419
0.421,5.4,2.2734
0.421,5.5,2.3155
0.421,5.6,2.3576
0.42,5.7,2.394
0.419,5.8,2.4302
0.419,5.9,2.4721
0.419,6.0,2.514
0.418,6.1,2.5498
0.418,6.2,2.5916
0.418,6.3,2.6334
0.417,6.4,2.6688
0.417,6.5,2.7105
0.417,6.6,2.7522
0.416,6.7,2.7872
0.415,6.8,2.822
0.415,6.9,2.8635
0.415,7.0,2.905
0.414,7.1,2.9394
0.414,7.2,2.9808
0.413,7.3,3.0149
0.413,7.4,3.0562
0.412,7.5,3.09
0.412,7.6,3.1312
0.411,7.7,3.1647
0.411,7.8,3.2058
0.411,7.9,3.2469
0.41,8.0,3.28
0.41,8.1,3.321
0.409,8.2,3.3538
0.409,8.3,3.3947
0.409,8.4,3.4356
0.408,8.5,3.468
0.408,8.6,3.5088
0.407,8.7,3.5409
0.406,8.8,3.5728
0.406,8.9,3.6134
0.406,9.0,3.654
0.405,9.1,3.6855
0.404,9.2,3.7168
0.404,9.3,3.7572
0.403,9.4,3.7882
0.403,9.5,3.8285
0.402,9.6,3.8592
0.401,9.7,3.8897
0.401,9.8,3.9298
0.4,9.9,3.96
0.4,10.0,4.0
0.399,10.1,4.0299
0.399,10.2,4.0698
0.399,10.3,4.1097
0.398,10.4,4.1392
0.398,10.5,4.179
0.397,10.6,4.2082
0.396,10.7,4.2372
0.395,10.8,4.266
0.395,10.9,4.3055
0.394,11.0,4.334
0.393,11.1,4.3623
0.392,11.2,4.3904
0.392,11.3,4.4296
0.391,11.4,4.4574
0.39,11.5,4.485
0.39,11.6,4.524
0.389,11.7,4.5513
0.388,11.8,4.5784
0.387,11.9,4.6053
0.386,12.0,4.632
0.385,12.1,4.6585
0.384,12.2,4.6848
0.382,12.3,4.6986
0.382,12.4,4.7368
0.381,12.5,4.7625
0.381,12.6,4.8006
0.381,12.7,4.8387
0.379,12.8,4.8512
0.379,12.9,4.8891
0.379,13.0,4.927
0.378,13.1,4.9518
0.377,13.2,4.9764
0.376,13.3,5.0008
0.375,13.4,5.025
0.375,13.5,5.0625
0.374,13.6,5.0864
0.373,13.7,5.1101
0.372,13.8,5.1336
0.371,13.9,5.1569
0.37,14.0,5.18
0.37,14.1,5.217
0.369,14.2,5.2398
0.368,14.3,5.2624
0.367,14.4,5.2848
0.366,14.5,5.307
0.364,14.6,5.3144
0.363,14.7,5.3361
0.362,14.8,5.3576
0.362,14.9,5.3938
0.0,15.1,0.0
END OF SAMPLE

Sample Number,2
Channel Number,1
Date & Time,2026-06-24 14:09:00.509140
Vopen (V),0.422
Ishort (A),14.9
Vmaxp (V),0.359
Imaxp (A),14.8
Pmax (W),5.3132
V (V),I (A),P (W)
0.42,0.0,0.0
0.42,0.1,0.042
0.42,0.2,0.084
0.42,0.3,0.126
0.42,0.4,0.168
0.42,0.5,0.21
0.42,0.6,0.252
0.42,0.7,0.294
0.42,0.8,0.336
0.42,0.9,0.378
0.42,1.0,0.42
0.42,1.1,0.462
0.42,1.2,0.504
0.42,1.3,0.546
0.42,1.4,0.588
0.42,1.5,0.63
0.42,1.6,0.672
0.42,1.7,0.714
0.42,1.8,0.756
0.42,1.9,0.798
0.42,2.0,0.84
0.42,2.1,0.882
0.42,2.2,0.924
0.42,2.3,0.966
0.42,2.4,1.008
0.42,2.5,1.05
0.42,2.6,1.092
0.42,2.7,1.134
0.42,2.8,1.176
0.42,2.9,1.218
0.42,3.0,1.26
0.42,3.1,1.302
0.42,3.2,1.344
0.42,3.3,1.386
0.42,3.4,1.428
0.42,3.5,1.47
0.42,3.6,1.512
0.42,3.7,1.554
0.42,3.8,1.596
0.42,3.9,1.638
0.42,4.0,1.68
0.42,4.1,1.722
0.42,4.2,1.764
0.42,4.3,1.806
0.42,4.4,1.848
0.42,4.5,1.89
0.42,4.6,1.932
0.42,4.7,1.974
0.42,4.8,2.016
0.42,4.9,2.058
0.42,5.0,2.1
0.42,5.1,2.142
0.421,5.2,2.1892
0.42,5.3,2.226
0.419,5.4,2.2626
0.419,5.5,2.3045
0.419,5.6,2.3464
0.418,5.7,2.3826
0.418,5.8,2.4244
0.417,5.9,2.4603
0.417,6.0,2.502
0.417,6.1,2.5437
0.416,6.2,2.5792
0.416,6.3,2.6208
0.416,6.4,2.6624
0.415,6.5,2.6975
0.414,6.6,2.7324
0.414,6.7,2.7738
0.413,6.8,2.8084
0.413,6.9,2.8497
0.412,7.0,2.884
0.411,7.1,2.9181
0.411,7.2,2.9592
0.411,7.3,3.0003
0.41,7.4,3.034
0.41,7.5,3.075
0.409,7.6,3.1084
0.409,7.7,3.1493
0.408,7.8,3.1824
0.408,7.9,3.2232
0.408,8.0,3.264
0.407,8.1,3.2967
0.407,8.2,3.3374
0.406,8.3,3.3698
0.405,8.4,3.402
0.405,8.5,3.4425
0.404,8.6,3.4744
0.403,8.7,3.5061
0.403,8.8,3.5464
0.402,8.9,3.5778
0.401,9.0,3.609
0.401,9.1,3.6491
0.401,9.2,3.6892
0.4,9.3,3.72
0.4,9.4,3.76
0.399,9.5,3.7905
0.399,9.6,3.8304
0.398,9.7,3.8606
0.398,9.8,3.9004
0.397,9.9,3.9303
0.397,10.0,3.97
0.396,10.1,3.9996
0.395,10.2,4.029
0.395,10.3,4.0685
